PLAYER,TEAM,MARKET,PROP_NAME,LINE,SEASON_VAL,RECENT_OVER_PROB,RECENT_N,BASE_PROB,ADJ_PROB_BEFORE_INJ,FINAL_OVER_PROB,INJ_Status,IS_OUT,IS_LIMITED,FINAL_OVER_PROB_PCT
Tari Eason,HOU,3PM,3-Pointers Made,1.5,2.8,1.0,5,0.99,0.99,0.99,Active,0,0,99.0%
Mikal Bridges,NYK,3PM,3-Pointers Made,1.5,2.5,1.0,5,0.99,0.99,0.99,Active,0,0,99.0%
Isaiah Joe,OKC,3PM,3-Pointers Made,2.5,4.0,1.0,5,0.99,0.99,0.99,Active,0,0,99.0%
Josh Okogie,HOU,3PM,3-Pointers Made,0.5,1.8,0.8,5,0.9700000000000002,0.9700000000000002,0.9700000000000002,Active,0,0,97.0%
Jaden McDaniels,MIN,3PM,3-Pointers Made,1.5,2.0,1.0,5,0.9675,0.9675,0.9675,Active,0,0,96.8%
Donte DiVincenzo,MIN,3PM,3-Pointers Made,2.5,3.3,0.8,5,0.925,0.925,0.925,Active,0,0,92.5%
Anthony Black,ORL,3PM,3-Pointers Made,0.5,1.1,0.8,5,0.8800000000000001,0.8800000000000001,0.8800000000000001,Active,0,0,88.0%
Miles McBride,NYK,3PM,3-Pointers Made,1.5,2.2,0.75,4,0.8575000000000002,0.8575000000000002,0.8575000000000002,Active,0,0,85.8%
Tristan da Silva,ORL,3PM,3-Pointers Made,1.5,2.0,0.8,5,0.8575000000000002,0.8575000000000002,0.8575000000000002,Active,0,0,85.8%
Cason Wallace,OKC,3PM,3-Pointers Made,1.5,1.9,0.8333333333333334,6,0.8533333333333335,0.8533333333333335,0.8533333333333335,Active,0,0,85.3%
Russell Westbrook,SAC,3PM,3-Pointers Made,1.5,2.3,0.6666666666666666,6,0.8516666666666668,0.8516666666666668,0.8516666666666668,Active,0,0,85.2%
